Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
02/2001,,130928,,3.16,,
03/2001,,139744,,0.15,,
04/2001,,166080,,1.86,,
05/2001,,243563,,0.00,,
06/2001,,205792,,0.00,,
07/2001,,162393,,0.42,,
08/2001,,125555,,0.00,,
09/2001,,108860,,0.00,,
10/2001,,99622,,0.57,,
11/2001,,100419,,3.11,,
12/2001,,105907,,2.37,,
01/2002,,107487,,0.39,,
02/2002,,107619,,0.32,,
03/2002,,111282,,1.09,,
04/2002,,139323,,0.03,,
05/2002,,170658,,0.28,,
06/2002,,173733,,0.00,,
07/2002,,132193,,0.11,,
08/2002,,101221,,0.00,,
09/2002,,89073,,0.00,,
10/2002,,82336,,0.00,,
11/2002,,134542,,5.76,,
12/2002,,138222,,2.65,,
01/2003,,142021,,0.01,,
02/2003,,151652,,1.70,,
03/2003,,173976,,1.24,,
04/2003,,202709,,0.75,,
05/2003,,270314,,0.56,,
06/2003,,303813,,0.00,,
07/2003,,249631,,0.29,,
08/2003,,199588,,0.78,,
09/2003,,172040,,0.56,,
10/2003,,150156,,0.18,,
11/2003,,149000,,0.71,,
12/2003,,148505,,2.04,,
01/2004,,151263,,1.09,,
02/2004,,157904,,3.15,,
03/2004,,191945,,0.46,,
04/2004,,203309,,0.05,,
05/2004,,227733,,0.00,,
06/2004,,206938,,0.00,,
07/2004,,161698,,0.00,,
08/2004,,120476,,0.00,,
09/2004,,98496,,0.00,,
10/2004,,94728,,1.98,,
11/2004,,94163,,0.39,,
12/2004,,94083,,2.86,,
01/2005,,130776,,6.03,,
02/2005,,145402,,0.99,,
03/2005,,201509,,2.01,,
04/2005,,292163,,0.72,,
05/2005,,489749,,0.68,,
06/2005,,528885,,0.00,,
07/2005,,458645,,0.00,,
08/2005,,360328,,1.03,,
09/2005,,301379,,0.51,,
10/2005,,261247,,1.11,,
11/2005,,244607,,0.06,,
12/2005,,246550,,3.63,,
01/2006,,244905,,3.10,,
02/2006,,248125,,1.38,,
03/2006,,287980,,2.21,,
04/2006,,382631,,0.93,,
05/2006,,412940,,0.02,,
06/2006,,380455,,0.00,,
07/2006,,321226,,1.68,,
08/2006,,266385,,0.00,,
09/2006,,236191,,0.00,,
10/2006,,230820,,0.19,,
11/2006,,225877,,0.06,,
12/2006,,226590,,2.68,,
01/2007,,223253,,0.57,,
02/2007,,221631,,1.40,,
03/2007,,225806,,0.68,,
04/2007,,231253,,0.20,,
05/2007,,240969,,0.00,,
06/2007,,210060,,0.00,,
07/2007,,158131,,0.00,,
08/2007,,126193,,0.00,,
09/2007,,114291,,0.42,,
10/2007,,108682,,0.06,,
11/2007,,107179,,0.10,,
12/2007,,107443,,1.56,,
01/2008,,115307,,4.00,,
02/2008,,131230,,5.96,,
03/2008,,152042,,0.02,,
04/2008,,191044,,0.00,,
05/2008,,251900,,0.02,,
06/2008,,251445,,0.00,,
07/2008,,203175,,0.11,,
08/2008,,144323,,0.00,,
09/2008,,121768,,0.08,,
10/2008,,111237,,0.08,,
11/2008,,110831,,2.26,,
12/2008,,116888,,2.92,,
01/2009,,124967,,0.44,,
02/2009,,131533,,2.25,,
03/2009,,143517,,1.25,,
04/2009,,170598,,0.11,,
05/2009,,249178,,0.91,,
06/2009,,234224,,0.07,,
07/2009,,178442,,0.00,,
08/2009,,131079,,0.00,,
09/2009,,102240,,0.00,,
10/2009,,103352,,0.31,,
11/2009,,102282,,0.12,,
12/2009,,110606,,4.32,,
01/2010,,123361,,3.35,,
02/2010,,144538,,2.96,,
03/2010,,169223,,0.66,,
04/2010,,212043,,1.09,,
05/2010,,254486,,0.11,,
06/2010,,331267,,0.00,,
07/2010,,294060,,0.00,,
08/2010,,211974,,0.00,,
09/2010,,170118,,0.00,,
10/2010,,157106,,0.88,,
11/2010,,157561,,1.66,,
12/2010,,234732,,11.82,,
01/2011,,219595,,0.76,,
02/2011,,203175,,1.16,,
03/2011,,245129,,1.91,,
04/2011,,319065,,0.09,,
05/2011,,332326,,0.86,,
06/2011,,359778,,0.00,,
07/2011,,337194,,0.52,,
08/2011,,281565,,0.00,,
09/2011,,223466,,0.34,,
10/2011,,168329,,1.00,,
11/2011,,168388,,1.76,,
12/2011,,167202,,0.00,,
01/2012,,170538,,1.76,,
02/2012,,168152,,0.34,,
03/2012,,170958,,1.62,,
04/2012,,200846,,1.51,,
05/2012,,215349,,0.09,,
06/2012,,170178,,0.07,,
07/2012,,119667,,0.01,,
08/2012,,96395,,0.03,,
09/2012,,88417,,0.00,,
10/2012,,85150,,0.11,,
11/2012,,83624,,0.21,,
12/2012,,83883,,1.85,,
01/2013,,82519,,0.59,,
02/2013,,82300,,3.04,,
03/2013,,87382,,0.55,,
04/2013,,96231,,0.42,,
05/2013,,105558,,0.25,,
06/2013,,86242,,0.00,,
07/2013,,70552,,0.12,,
08/2013,,62221,,0.57,,
09/2013,,55864,,0.00,,
10/2013,,52963,,0.24,,
11/2013,,54358,,0.83,,
12/2013,,59600,,1.04,,
01/2014,,57994,,0.37,,
02/2014,,60211,,2.68,,
03/2014,,59775,,0.96,,
04/2014,,65730,,1.19,,
05/2014,,80018,,0.14,,
06/2014,,73074,,0.04,,
07/2014,,58937,,0.00,,
08/2014,,53765,,0.10,,
09/2014,,50225,,0.00,,
10/2014,,45418,,0.04,,
11/2014,,44804,,0.13,,
12/2014,,44851,,4.47,,
01/2015,,44875,,1.44,,
02/2015,,47666,,2.01,,
03/2015,,46496,,0.31,,
04/2015,,44945,,0.42,,
05/2015,,43594,,0.77,,
06/2015,,36147,,0.26,,
07/2015,,32856,,0.21,,
08/2015,,31188,,0.01,,
09/2015,,30228,,0.00,,
10/2015,,30299,,1.34,,
11/2015,,30404,,1.46,,
12/2015,,33401,,3.83,,
01/2016,,--,,--,,
