Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
07/2001,,96744,r,
08/2001,,86123,r,
09/2001,,84344,r,
10/2001,,91898,r,
11/2001,,98195,r,
12/2001,,112329,r,
01/2002,,123578,r,
02/2002,,140886,r,
03/2002,,168532,r,
04/2002,,225899,r,
05/2002,,253397,r,
06/2002,,260397,r,
07/2002,,235577,r,
08/2002,,203078,r,
09/2002,,165850,r,
10/2002,,138500,r,
11/2002,,130300,r,
12/2002,,155100,r,
01/2003,,149400,r,
02/2003,,149700,r,
03/2003,,178900,r,
04/2003,,209900,r,
05/2003,,252900,r,
06/2003,,254000,r,
07/2003,,222300,r,
08/2003,,195000,r,
09/2003,,186200,r,
10/2003,,173400,r,
11/2003,,157900,r,
12/2003,,157500,r,
01/2004,,139100,r,
02/2004,,139400,r,
03/2004,,176900,r,
04/2004,,225100,r,
05/2004,,261500,r,
06/2004,,251500,r,
07/2004,,224700,r,
08/2004,,192300,r,
09/2004,,153500,r,
10/2004,,143756,,
11/2004,,157367,,
12/2004,,161820,,
01/2005,,172634,,
02/2005,,167006,,
03/2005,,187831,,
04/2005,,205650,,
05/2005,,266839,,
06/2005,,274713,,
07/2005,,258359,,
08/2005,,216884,,
09/2005,,190948,,
10/2005,,177226,,
11/2005,,167442,,
12/2005,,218169,,
01/2006,,215431,,
02/2006,,214683,,
03/2006,,202837,,
04/2006,,225805,,
05/2006,,264861,,
06/2006,,269005,,
07/2006,,244989,,
08/2006,,203004,,
09/2006,,173891,,
10/2006,,156300,r,
11/2006,,151000,r,
12/2006,,155600,r,
01/2007,,167800,r,
02/2007,,186200,r,
03/2007,,212800,r,
04/2007,,242400,r,
05/2007,,262684,,
06/2007,,254033,,
07/2007,,224061,,
08/2007,,188261,,
09/2007,,166825,,
10/2007,,148503,,
11/2007,,136036,,
12/2007,,128157,,
01/2008,,127900,,
02/2008,,128718,,
03/2008,,149476,,
04/2008,,188445,,
05/2008,,234824,,
06/2008,,239779,,
07/2008,,222408,,
08/2008,,194973,,
09/2008,,170758,,
10/2008,,157669,,
11/2008,,147496,,
12/2008,,141947,,
01/2009,,149886,,
02/2009,,157042,,
03/2009,,180282,,
04/2009,,212568,,
05/2009,,263378,,
06/2009,,262684,,
07/2009,,243736,,
08/2009,,216054,,
09/2009,,184956,,
10/2009,,155907,,
11/2009,,148740,,
12/2009,,150625,,
01/2010,,166114,,
02/2010,,160459,,
03/2010,,182158,,
04/2010,,204396,,
05/2010,,241494,,
06/2010,,262406,,
07/2010,,245383,,
08/2010,,216865,,
09/2010,,184582,,
10/2010,,199095,,
11/2010,,197356,,
12/2010,,212743,,
01/2011,,184984,,
02/2011,,159929,,
03/2011,,161508,,
04/2011,,188403,,
05/2011,,221800,,
06/2011,,261679,,
07/2011,,249608,,
08/2011,,223107,,
09/2011,,190831,,
10/2011,,168868,,
11/2011,,158576,,
12/2011,,149343,,
01/2012,,153224,,
02/2012,,155622,,
03/2012,,195218,,
04/2012,,247068,,
05/2012,,260157,,
06/2012,,257361,,
07/2012,,236069,,
08/2012,,201637,,
09/2012,,174691,,
10/2012,,137902,,
11/2012,,143797,,
12/2012,,179862,,
01/2013,,192269,,
02/2013,,198175,,
03/2013,,222305,,
04/2013,,248987,,
05/2013,,255900,,
06/2013,,244312,,
07/2013,,216108,,
08/2013,,181711,,
09/2013,,164351,,
10/2013,,154191,,
11/2013,,142946,,
12/2013,,132028,,
01/2014,,124010,,
02/2014,,145591,,
03/2014,,168752,,
04/2014,,196908,,
05/2014,,220559,,
06/2014,,213393,,
07/2014,,190588,,
08/2014,,165564,,
09/2014,,155893,,
10/2014,,133859,,
11/2014,,139053,,
12/2014,,146666,,
01/2015,,140093,,
02/2015,,166804,,
03/2015,,185726,,
04/2015,,203348,,
05/2015,,216159,,
06/2015,,204148,,
07/2015,,182316,,
08/2015,,161428,,
09/2015,,149925,,
10/2015,,141796,,
11/2015,,134220,,
12/2015,,148814,,
01/2016,,--,,
